Author,Title,Epub.No
"Dickens, Charles, 1812-1870",A Tale of Two Cities,98
"Stoker, Bram, 1847-1912",Dracula,345
"Swift, Jonathan, 1667-1745","A Modest Proposal For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",1080
"Rizal, José, 1861-1896","Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere)",47629
"Dickens, Charles, 1812-1870",Great Expectations,1400
"Stevenson, Robert Louis, 1850-1894",The Strange Case of Dr. Jekyll and Mr. Hyde,43
"Brontë, Charlotte, 1816-1855",Jane Eyre: An Autobiography,1260
"Rizal, José, 1861-1896",Noli Me Tangere,20228
"Hawthorne, Nathaniel, 1804-1864",The Scarlet Letter,25344
"Twain, Mark, 1835-1910",Adventures of Huckleberry Finn,76
"Doyle, Arthur Conan, 1859-1930",The Adventures of Sherlock Holmes,1661
"Dostoyevsky, Fyodor, 1821-1881",The Brothers Karamazov,28054
"Conrad, Joseph, 1857-1924",Heart of Darkness,219
"Homer, 751? BCE-651? BCE",The Iliad,6130
"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",The Souls of Black Folk,408
"Joyce, James, 1882-1941",Ulysses,4300
"Cervantes Saavedra, Miguel de, 1547-1616",Don Quijote,2000
"Grimm, Jacob, 1785-1863",Grimms' Fairy Tales,2591
"Rizal, José, 1861-1896",The Reign of Greed,10676
"Tolstoy, Leo, graf, 1828-1910",War and Peace,2600
"Brontë, Emily, 1818-1848",Wuthering Heights,768
"Machiavelli, Niccolò, 1469-1527",The Prince,1232
"Nietzsche, Friedrich Wilhelm, 1844-1900",Thus Spake Zarathustra: A Book for All and None,1998
"Homer, 751? BCE-651? BCE",The OdysseyRendered into English prose for the use of those who cannot read the original,1727
"Dickens, Charles, 1812-1870",A Christmas Carol in Prose; Being a Ghost Story of Christmas,46
Vatsyayana,"The Kama Sutra of VatsyayanaTranslated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",27827
"Joyce, James, 1882-1941",Dubliners,2814
"Twain, Mark, 1835-1910","The Adventures of Tom Sawyer, Complete",74
"Thoreau, Henry David, 1817-1862","Walden, and On The Duty Of Civil Disobedience",205
Anonymous,The Romance of Lust: A classic Victorian erotic novel,30254
"Dante Alighieri, 1265-1321",The divine comedy,8800
"Dumas, Alexandre, 1802-1870",The Count of Monte Cristo,1184
"Hobbes, Thomas, 1588-1679",Leviathan,3207
"Cervantes Saavedra, Miguel de, 1547-1616",Don Quixote,996
"Nietzsche, Friedrich Wilhelm, 1844-1900",Beyond Good and Evil,4363
"Montgomery, L. M. (Lucy Maud), 1874-1942",Anne of Green Gables,45
"Plato, 428? BCE-348? BCE",The Republic,1497
"Dostoyevsky, Fyodor, 1821-1881",Notes from the Underground,600
"Milne, A. A. (Alan Alexander), 1882-1956",Winnie-the-Pooh,67098
"Alcott, Louisa May, 1832-1888",Little Women,514
"Stevenson, Robert Louis, 1850-1894",Treasure Island,120
"Doyle, Arthur Conan, 1859-1930",A Study in Scarlet,244
"Wells, H. G. (Herbert George), 1866-1946",The War of the Worlds,36
"Locke, John, 1632-1704",Second Treatise of Government,7370
"Shelley, Mary Wollstonecraft, 1797-1851","Frankenstein; Or, The Modern Prometheus",41445
"Gibbon, Edward, 1737-1794",The History of the Decline and Fall of the Roman EmpireTable of Contents with links in the HTML file to the two Project Gutenberg editions (12 volumes),25717
"Gibran, Kahlil, 1883-1931",The Prophet,58585
,The King James Version of the Bible,10
"Thompson, Silvanus P. (Silvanus Phillips), 1851-1916",Calculus Made EasyBeing a very-simplest introduction to those beautiful methods which are generally called by the terrifying names of the Differential Calculus and the Integral Calculus,33283
"Baum, L. Frank (Lyman Frank), 1856-1919",The Wonderful Wizard of Oz,55
"Barrie, J. M. (James Matthew), 1860-1937",Peter Pan,16
"Chambers, Robert W. (Robert William), 1865-1933",The King in Yellow,8492
"Marcus Aurelius, Emperor of Rome, 121-180",Meditations,2680
"Austen, Jane, 1775-1817",Emma,158
"Doyle, Arthur Conan, 1859-1930",The Hound of the Baskervilles,2852
"Le Fanu, Joseph Sheridan, 1814-1873",Carmilla,10007
