Author,Title
"Dickens, Charles, 1812-1870",A Tale of Two Cities
"Stoker, Bram, 1847-1912",Dracula
"Swift, Jonathan, 1667-1745","A Modest ProposalFor preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick"
"Rizal, José, 1861-1896","Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere)"
"Dickens, Charles, 1812-1870",Great Expectations
"Stevenson, Robert Louis, 1850-1894",The Strange Case of Dr. Jekyll and Mr. Hyde
"Brontë, Charlotte, 1816-1855",Jane Eyre: An Autobiography
"Rizal, José, 1861-1896",Noli Me Tangere
"Hawthorne, Nathaniel, 1804-1864",The Scarlet Letter
"Twain, Mark, 1835-1910",Adventures of Huckleberry Finn
"Doyle, Arthur Conan, 1859-1930",The Adventures of Sherlock Holmes
"Dostoyevsky, Fyodor, 1821-1881",The Brothers Karamazov
"Conrad, Joseph, 1857-1924",Heart of Darkness
"Homer, 751? BCE-651? BCE",The Iliad
"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",The Souls of Black Folk
"Joyce, James, 1882-1941",Ulysses
"Cervantes Saavedra, Miguel de, 1547-1616",Don Quijote
"Grimm, Jacob, 1785-1863",Grimms' Fairy Tales
"Rizal, José, 1861-1896",The Reign of Greed
"Tolstoy, Leo, graf, 1828-1910",War and Peace
"Brontë, Emily, 1818-1848",Wuthering Heights
"Machiavelli, Niccolò, 1469-1527",The Prince
"Nietzsche, Friedrich Wilhelm, 1844-1900",Thus Spake Zarathustra: A Book for All and None
"Homer, 751? BCE-651? BCE",The OdysseyRendered into English prose for the use of those who cannot read the original
"Dickens, Charles, 1812-1870",A Christmas Carol in Prose; Being a Ghost Story of Christmas
Vatsyayana,"The Kama Sutra of VatsyayanaTranslated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks"
"Joyce, James, 1882-1941",Dubliners
"Twain, Mark, 1835-1910","The Adventures of Tom Sawyer, Complete"
"Thoreau, Henry David, 1817-1862","Walden, and On The Duty Of Civil Disobedience"
Anonymous,The Romance of Lust: A classic Victorian erotic novel
"Dante Alighieri, 1265-1321",The divine comedy
"Dumas, Alexandre, 1802-1870",The Count of Monte Cristo
"Hobbes, Thomas, 1588-1679",Leviathan
"Cervantes Saavedra, Miguel de, 1547-1616",Don Quixote
"Nietzsche, Friedrich Wilhelm, 1844-1900",Beyond Good and Evil
"Montgomery, L. M. (Lucy Maud), 1874-1942",Anne of Green Gables
"Plato, 428? BCE-348? BCE",The Republic
"Dostoyevsky, Fyodor, 1821-1881",Notes from the Underground
"Milne, A. A. (Alan Alexander), 1882-1956",Winnie-the-Pooh
"Alcott, Louisa May, 1832-1888",Little Women
"Stevenson, Robert Louis, 1850-1894",Treasure Island
"Doyle, Arthur Conan, 1859-1930",A Study in Scarlet
"Wells, H. G. (Herbert George), 1866-1946",The War of the Worlds
"Locke, John, 1632-1704",Second Treatise of Government
"Shelley, Mary Wollstonecraft, 1797-1851","Frankenstein; Or, The Modern Prometheus"
"Gibbon, Edward, 1737-1794",The History of the Decline and Fall of the Roman EmpireTable of Contents with links in the HTML file to the two Project Gutenberg editions (12 volumes)
"Gibran, Kahlil, 1883-1931",The Prophet
